news_text,d_pol,doc_id,company_name,positive,negative,neutral,sents,s_pol,terms_neg,terms_pos
"Siemens has launched an initiative called the Future of Storage to offer ... Siemens Anette Ossege-Schaffrath stated: We want to offer every customer the ... initiative highlights Siemens long-term partnership with ... Digital is a 'Digital Community' for the & , utilities and ...
",Positive,28509,Siemens AG,[1.0],[],[],Siemens long-term partnership  with ,Positive,[],['partnership']
"Siemens and the Munich transport corporation (MVG) presented the first of the new C2 series trains to the public in Munich. This jointly unveiled train will be followed by 20 more by the year 2015, for a total of 126 new metro cars. This order marks the biggest purchase of rolling stock in the history of the Munich Underground.
",Positive,28505,Siemens AG,[0.25],[],[0.188],This order marks the biggest  purchase of rolling stock in the history of the Munich Underground,Positive,[],['biggest']
"ABB has again been selected as a member of the FTSE4Good Index Series, marking the 20th consecutive year of recognition for its sustainability performance. With an overall score of 4.1 on a scale of 0-5, ABB is among the best performers in the index and a leader among its peers. FTSE4Good is a global sustainable investment index series, designed to identify companies that demonstrate strong Environmental, Social and Governance (ESG) practices measured against international standards. The series is an important tool for a wide variety of market participants when creating or assessing sustainable investment products. The renewed listing in the index confirms that we are on the right track as we are working on a new set of ambitious long-term objectives which we will publish later this year, said Roland Dubois, ABBs Head of Sustainability. Last year, ABB reached or exceeded more than half of its sustainability targets ahead of schedule. ABBs eco-efficiency portfolio, which enables sustainable smart cities, industries and transport systems to mitigate climate change and conserve non-renewable resources, accounted for 57 percent of total revenues in 2019. ABB (ABBN: SIX Swiss Ex) is a leading global technology company that energizes the transformation of society and industry to achieve a more productive, sustainable future. By connecting software to its electrification, robotics, automation and motion portfolio, ABB pushes the boundaries of technology to drive performance to new levels. With a history of excellence stretching back more than 130 years, ABBs success is driven by about 110,000 talented employees in over 100 countries. www.abb.com
",Positive,28494,ABB Ltd,[0.818],[],[0.045],ABB has again been selected as a member of the FTSE4Good Index Series marking the 20th consecutive year of recognition for its sustainability  performance,Positive,[],['sustainability']
,,28494,ABB Ltd,,,,With an overall score of 41 on a scale  of 0-5 ABB is among the best  performers in the index and a leader among its peers,Positive,[],"['scale', 'best']"
,,28494,ABB Ltd,,,,FTSE4Good is a global sustainable  investment index series designed to identify companies that demonstrate strong  Environmental Social and Governance ESG practices measured against international standards,Positive,[],"['sustainable', 'strong']"
,,28494,ABB Ltd,,,,The series is an important  tool for a wide variety  of market participants when creating or assessing sustainable  investment products,Positive,[],"['important', 'variety', 'sustainable']"
,,28494,ABB Ltd,,,,The renewed  listing in the index confirms that we are on the right  track as we are working on a new set of ambitious  long-term objectives which we will publish later this year said Roland Dubois ABBs Head of Sustainability ,Positive,[],"['renewed', 'right', 'ambitious', 'Sustainability']"
,,28494,ABB Ltd,,,,Last year ABB reached or exceeded  more than half of its sustainability  targets ahead of schedule,Positive,[],"['exceeded', 'sustainability']"
,,28494,ABB Ltd,,,,ABBs eco-efficiency portfolio which enables sustainable  smart  cities industries and transport systems to mitigate  climate change and conserve non-renewable resources accounted for 57 percent of total revenues in 2019,Positive,[],"['sustainable', 'smart', 'mitigate']"
,,28494,ABB Ltd,,,,SIX Swiss Ex is a leading global technology company that energizes the transformation of society and industry to achieve a more productive  sustainable  future,Positive,[],"['productive', 'sustainable']"
,,28494,ABB Ltd,,,,With a history of excellence  stretching back more than 130 years ABBs success  is driven by about 110000 talented  employees in over 100 countries,Positive,[],"['excellence', 'success', 'talented']"
